PostalCode,City,FederalState
01067,Dresden,Sachsen
01069,Dresden,Sachsen
01097,Dresden,Sachsen
01099,Dresden,Sachsen
01108,Dresden,Sachsen
01109,Dresden,Sachsen
01127,Dresden,Sachsen
01129,Dresden,Sachsen
01139,Dresden,Sachsen
01156,Dresden,Sachsen
01157,Dresden,Sachsen
01159,Dresden,Sachsen
01169,Dresden,Sachsen
01187,Dresden,Sachsen
01189,Dresden,Sachsen
01217,Dresden,Sachsen
01219,Dresden,Sachsen
01237,Dresden,Sachsen
01239,Dresden,Sachsen
01257,Dresden,Sachsen
01259,Dresden,Sachsen
01277,Dresden,Sachsen
01279,Dresden,Sachsen
01307,Dresden,Sachsen
01309,Dresden,Sachsen
01324,Dresden,Sachsen
01326,Dresden,Sachsen
01328,Dresden,Sachsen
01445,Dresden,Sachsen
01465,Dresden,Sachsen
03042,Cottbus,Brandenburg
03044,Cottbus,Brandenburg
03046,Cottbus,Brandenburg
03048,Cottbus,Brandenburg
03050,Cottbus,Brandenburg
03051,Cottbus,Brandenburg
03052,Cottbus,Brandenburg
03053,Cottbus,Brandenburg
03054,Cottbus,Brandenburg
03055,Cottbus,Brandenburg
04103,Leipzig,Sachsen
04105,Leipzig,Sachsen
04107,Leipzig,Sachsen
04109,Leipzig,Sachsen
04129,Leipzig,Sachsen
04155,Leipzig,Sachsen
04157,Leipzig,Sachsen
04158,Leipzig,Sachsen
04159,Leipzig,Sachsen
04177,Leipzig,Sachsen
04178,Leipzig,Sachsen
04179,Leipzig,Sachsen
04205,Leipzig,Sachsen
04207,Leipzig,Sachsen
04209,Leipzig,Sachsen
04229,Leipzig,Sachsen
04249,Leipzig,Sachsen
04275,Leipzig,Sachsen
04277,Leipzig,Sachsen
04279,Leipzig,Sachsen
04288,Leipzig,Sachsen
04289,Leipzig,Sachsen
04299,Leipzig,Sachsen
04315,Leipzig,Sachsen
04316,Leipzig,Sachsen
04317,Leipzig,Sachsen
04318,Leipzig,Sachsen
04319,Leipzig,Sachsen
04328,Leipzig,Sachsen
04329,Leipzig,Sachsen
04347,Leipzig,Sachsen
04349,Leipzig,Sachsen
04356,Leipzig,Sachsen
04357,Leipzig,Sachsen
06108,Halle (Saale),Sachsen-Anhalt
06110,Halle (Saale),Sachsen-Anhalt
06112,Halle (Saale),Sachsen-Anhalt
06114,Halle (Saale),Sachsen-Anhalt
06116,Halle (Saale),Sachsen-Anhalt
06118,Halle (Saale),Sachsen-Anhalt
06120,Halle (Saale),Sachsen-Anhalt
06122,Halle (Saale),Sachsen-Anhalt
06124,Halle (Saale),Sachsen-Anhalt
06126,Halle (Saale),Sachsen-Anhalt
06128,Halle (Saale),Sachsen-Anhalt
06130,Halle (Saale),Sachsen-Anhalt
06132,Halle (Saale),Sachsen-Anhalt
06268,Querfurt,Thüringen
06772,Dessau-Roßlau,Sachsen-Anhalt
06842,Dessau-Roßlau,Sachsen-Anhalt
06844,Dessau-Roßlau,Sachsen-Anhalt
06846,Dessau-Roßlau,Sachsen-Anhalt
06847,Dessau-Roßlau,Sachsen-Anhalt
06849,Dessau-Roßlau,Sachsen-Anhalt
06861,Dessau-Roßlau,Sachsen-Anhalt
06862,Dessau-Roßlau,Sachsen-Anhalt
06886,Lutherstadt Wittenberg,Sachsen-Anhalt
06888,Lutherstadt Wittenberg,Sachsen-Anhalt
06889,Lutherstadt Wittenberg,Sachsen-Anhalt
06917,Jessen (Elster),Nordrhein-Westfalen
07545,Gera,Thüringen
07546,Gera,Thüringen
07548,Gera,Thüringen
07549,Gera,Thüringen
07551,Gera,Thüringen
07552,Gera,Thüringen
07554,Gera,Thüringen
07557,Gera,Thüringen
07589,Münchenbernsdorf,Bayern
07743,Jena,Thüringen
07745,Jena,Thüringen
07747,Jena,Thüringen
07749,Jena,Thüringen
07751,Jena,Thüringen
08056,Zwickau,Sachsen
08058,Zwickau,Sachsen
08060,Zwickau,Sachsen
08062,Zwickau,Sachsen
08064,Zwickau,Sachsen
08066,Zwickau,Sachsen
08132,Zwickau,Sachsen
08523,Plauen,Sachsen
08525,Plauen,Sachsen
08527,Plauen,Sachsen
08529,Plauen,Sachsen
08541,Plauen,Sachsen
08547,Plauen,Sachsen
09111,Chemnitz,Sachsen
09112,Chemnitz,Sachsen
09113,Chemnitz,Sachsen
09114,Chemnitz,Sachsen
09116,Chemnitz,Sachsen
09117,Chemnitz,Sachsen
09119,Chemnitz,Sachsen
09120,Chemnitz,Sachsen
09122,Chemnitz,Sachsen
09123,Chemnitz,Sachsen
09125,Chemnitz,Sachsen
09126,Chemnitz,Sachsen
09127,Chemnitz,Sachsen
09128,Chemnitz,Sachsen
09130,Chemnitz,Sachsen
09131,Chemnitz,Sachsen
09224,Chemnitz,Sachsen
09228,Chemnitz,Sachsen
09247,Chemnitz,Sachsen
09619,Dorfchemnitz,Sachsen
10115,Berlin,Berlin
10117,Berlin,Berlin
10119,Berlin,Berlin
10178,Berlin,Berlin
10179,Berlin,Berlin
10243,Berlin,Berlin
10245,Berlin,Berlin
10247,Berlin,Berlin
10249,Berlin,Berlin
10315,Berlin,Berlin
10317,Berlin,Berlin
10318,Berlin,Berlin
10319,Berlin,Berlin
10365,Berlin,Berlin
10367,Berlin,Berlin
10369,Berlin,Berlin
10405,Berlin,Berlin
10407,Berlin,Berlin
10409,Berlin,Berlin
10435,Berlin,Berlin
10437,Berlin,Berlin
10439,Berlin,Berlin
10551,Berlin,Berlin
10553,Berlin,Berlin
10555,Berlin,Berlin
10557,Berlin,Berlin
10559,Berlin,Berlin
10585,Berlin,Berlin
10587,Berlin,Berlin
10589,Berlin,Berlin
10623,Berlin,Berlin
10625,Berlin,Berlin
10627,Berlin,Berlin
10629,Berlin,Berlin
10707,Berlin,Berlin
10709,Berlin,Berlin
10711,Berlin,Berlin
10713,Berlin,Berlin
10715,Berlin,Berlin
10717,Berlin,Berlin
10719,Berlin,Berlin
10777,Berlin,Berlin
10779,Berlin,Berlin
10781,Berlin,Berlin
10783,Berlin,Berlin
10785,Berlin,Berlin
10787,Berlin,Berlin
10789,Berlin,Berlin
10823,Berlin,Berlin
10825,Berlin,Berlin
14467,Potsdam,Brandenburg
14469,Potsdam,Brandenburg
14471,Potsdam,Brandenburg
14473,Potsdam,Brandenburg
14476,Potsdam,Brandenburg
14478,Potsdam,Brandenburg
14480,Potsdam,Brandenburg
14482,Potsdam,Brandenburg
14770,Brandenburg an der Havel,Brandenburg
14772,Brandenburg an der Havel,Brandenburg
14774,Brandenburg an der Havel,Brandenburg
14776,Brandenburg an der Havel,Brandenburg
15230,Frankfurt (Oder),Brandenburg
15232,Frankfurt (Oder),Brandenburg
15234,Frankfurt (Oder),Brandenburg
15236,Frankfurt (Oder),Brandenburg
15755,Schwerin,Mecklenburg-Vorpommern
17214,Alt Schwerin,Mecklenburg-Vorpommern
17489,Greifswald,Mecklenburg-Vorpommern
17491,Greifswald,Mecklenburg-Vorpommern
17493,Greifswald,Mecklenburg-Vorpommern
18055,Rostock,Mecklenburg-Vorpommern
18057,Rostock,Mecklenburg-Vorpommern
18059,Rostock,Mecklenburg-Vorpommern
18069,Rostock,Mecklenburg-Vorpommern
18106,Rostock,Mecklenburg-Vorpommern
18107,Rostock,Mecklenburg-Vorpommern
18109,Rostock,Mecklenburg-Vorpommern
18119,Rostock,Mecklenburg-Vorpommern
18146,Rostock,Mecklenburg-Vorpommern
18147,Rostock,Mecklenburg-Vorpommern
18181,Rostock,Mecklenburg-Vorpommern
18182,Rostock,Mecklenburg-Vorpommern
18435,Stralsund,Mecklenburg-Vorpommern
18437,Stralsund,Mecklenburg-Vorpommern
18439,Stralsund,Mecklenburg-Vorpommern
19053,Schwerin,Mecklenburg-Vorpommern
19055,Schwerin,Mecklenburg-Vorpommern
19057,Schwerin,Mecklenburg-Vorpommern
19059,Schwerin,Mecklenburg-Vorpommern
19061,Schwerin,Mecklenburg-Vorpommern
19063,Schwerin,Mecklenburg-Vorpommern
20095,Hamburg,Hamburg
20097,Hamburg,Hamburg
20099,Hamburg,Hamburg
20144,Hamburg,Hamburg
20146,Hamburg,Hamburg
20148,Hamburg,Hamburg
20149,Hamburg,Hamburg
20249,Hamburg,Hamburg
20251,Hamburg,Hamburg
20253,Hamburg,Hamburg
20255,Hamburg,Hamburg
20257,Hamburg,Hamburg
20259,Hamburg,Hamburg
20354,Hamburg,Hamburg
20355,Hamburg,Hamburg
20357,Hamburg,Hamburg
20359,Hamburg,Hamburg
20457,Hamburg,Hamburg
20459,Hamburg,Hamburg
20535,Hamburg,Hamburg
20537,Hamburg,Hamburg
20539,Hamburg,Hamburg
21029,Hamburg,Hamburg
21031,Hamburg,Hamburg
21033,Hamburg,Hamburg
21035,Hamburg,Hamburg
21037,Hamburg,Hamburg
21039,Hamburg,Hamburg
21073,Hamburg,Hamburg
21075,Hamburg,Hamburg
21077,Hamburg,Hamburg
21079,Hamburg,Hamburg
21107,Hamburg,Hamburg
21109,Hamburg,Hamburg
21129,Hamburg,Hamburg
21147,Hamburg,Hamburg
21149,Hamburg,Hamburg
21465,Wentorf bei Hamburg,Hamburg
21629,Neu Wulmstorf,Baden-Württemberg
22041,Hamburg,Hamburg
22043,Hamburg,Hamburg
22045,Hamburg,Hamburg
22047,Hamburg,Hamburg
22049,Hamburg,Hamburg
22081,Hamburg,Hamburg
22083,Hamburg,Hamburg
22085,Hamburg,Hamburg
22087,Hamburg,Hamburg
22089,Hamburg,Hamburg
22111,Hamburg,Hamburg
22113,Hamburg,Hamburg
23552,Lübeck,Schleswig-Holstein
23554,Lübeck,Schleswig-Holstein
